Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
PMMP;PT Panca Mitra Multiperdana Tbk;18-Dec-20;Consumer Non-Cyclicals;Processed Foods; 118.608 ; 2.353.000.000 ; 336 ;15%;-13%;-20%;17%;42%;5%;-4%;20%;78%;"SINARMAS SEKURITAS (DH); MIRAE ASSET SEKURITAS INDONESIA (YP)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;HANAFIAH PONGGAWA & PARTNERS;;;;;;05-Dec-19;11-Dec-19;03-Jan-20;04-Jun-20;04-Dec-20;; 660 ; 655 ; 580 ; 280 ; 362 ; 1.045 ; 1.000 ;;;;2019;; 655.726.399.252 ; 1.195.198.550.046 ;  ;  ;  ;; 390.593.242.928 ; 676.354.599.940 ;  ;  ;  ;; 506.108.873.080 ; 1.085.328.207.907 ;  ;  ;  ;; 32.119.424.827 ; 97.724.305.744 ;  ;  ;  ;;
WIFI;PT Solusi Sinergi Digital Tbk;30-Dec-20;Technology;Online Applications & Services; 82.976 ; 1.947.077.000 ; 530 ;25%;50%;20%;100%;3%;22%;-75%;30%;-57%;INDO CAPITAL SEKURITAS;ANWAR & PARTNERS;TUMBUAN & PARTNERS;;;;;;06-Dec-19;12-Dec-19;03-Jan-20;05-Jun-20;04-Dec-20;; 170 ; 266 ; 540 ; 53 ; 50 ; 50 ; 50 ;30-Nov-22;1;;2019;; 52.026.100.743 ; 352.565.515.823 ;  ;  ;  ;; 48.318.586.501 ; 3.701.033.173 ;  ;  ;  ;; 7.865.363.636 ; 10.130.203.636 ;  ;  ;  ;; 517.788.796 ; 1.382.879.694 ;  ;  ;  ;;
FAPA;PT FAP Agri Tbk;04-Jan-21;Consumer Non-Cyclicals;Agricultural Products; 1.001.718 ; 3.629.411.800 ; 1.840 ;25%;42%;33%;51%;74%;2%;-7%;30%;-421%;BCA SEKURITAS (SQ);GANI SIGIRO & HANDAYANI;IRMA & SOLOMON LAW FIRM;;;;;;10-Dec-19;16-Dec-19;09-Jan-20;09-Jun-20;08-Dec-20;; 178 ; 304 ; 234 ; 171 ; 151 ; 186 ; 185 ;;;;2019;; 1.109.580.114.885 ; 1.101.538.734.976 ;  ;  ;  ;; 345.168.464.792 ; 129.293.906.698 ;  ;  ;  ;; 608.680.140.771 ; 669.713.224.904 ;  ;  ;  ;; 59.892.740.046 ; 59.266.142.810 ;  ;  ;  ;;
DCII;PT DCI Indonesia Tbk;06-Jan-21;Technology;IT Services & Consulting; 150.176 ; 2.383.745.900 ; 420 ;25%;201%;1864%;13948%;11567%;23%;4%;15%;43%;BUANA CAPITAL SEKURITAS (RF);PURWANTONO, SUNGKORO & SURJA;ASSEGAF HAMZAH & PARTNERS;;;;;;18-Dec-19;26-Dec-19;17-Jan-20;17-Jun-20;17-Dec-20;; 200 ; 152 ; 148 ; 122 ; 116 ; 156 ; 177 ;;;;2019;; 3.267.074.648.546 ; 3.720.040.085.388 ;  ;  ;  ;; 1.536.715.373.157 ; 1.496.593.161.973 ;  ;  ;  ;; 9.976.470.408.838 ; 8.729.486.560.823 ;  ;  ;  ;; 221.633.336.845 ; 131.168.442.135 ;  ;  ;  ;;
DGNS;PT Diagnos Laboratorium Utama Tbk;15-Jan-21;Healthcare;Healthcare Providers; 50.000 ; 1.250.000.000 ; 200 ;35%;160%;228%;475%;275%;83%;20%;65%;22%;MIRAE ASSET SEKURITAS INDONESIA (YP);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;ANDREAS, SHEILA & PARTNERS;;;;;;20-Dec-19;30-Dec-19;17-Jan-20;19-Jun-20;18-Dec-20;; 1.770 ; 1.870 ; 1.960 ; 1.445 ; 1.515 ; 1.155 ; 1.180 ;;;;2019;; 7.179.647.000.000 ; 8.316.053.000.000 ;  ;  ;  ;; 4.381.943.000.000 ; 3.974.444.000.000 ;  ;  ;  ;; 8.350.583.000.000 ; 8.519.760.000.000 ;  ;  ;  ;; 181.156.000.000 ; 398.704.000.000 ;  ;  ;  ;;
BANK;PT Bank Aladin Syariah Tbk;01-Feb-21;Financials;Banks; 515.000 ; 13.061.141.834 ; 103 ;35%;281%;1881%;3162%;2046%;201%;122%;15%;-370%;NH KORINDO SEKURITAS INDONESIA (XA);TANUBRATA SUTANTO FAHMI BAMBANG AND PARTNERS;ADAMS & CO, COUSELLORS-AT-LAW;;;;;;23-Dec-19;02-Jan-20;22-Jan-20;22-Jun-20;22-Dec-20;; 338 ; 300 ; 262 ; 320 ; 346 ; 595 ; 730 ;;;;2019;; 308.746.206.874 ; 934.943.727.902 ;  ;  ;  ;; 247.969.906.207 ; 769.403.799.889 ;  ;  ;  ;; 400.181.684.539 ; 2.156.638.628.581 ;  ;  ;  ;; 6.486.059.545 ; 37.633.131.290 ;  ;  ;  ;;
UFOE;PT Damai Sejahtera Abadi Tbk;01-Feb-21;Consumer Cyclicals;Specialty Retail; 46.208 ; 2.287.500.000 ; 101 ;35%;278%;334%;1197%;1187%;33%;27%;1%;28%;"INVESTINDO NUSANTARA SEKURITAS (IN); PANCA GLOBAL SEKURITAS (PG); DANATAMA MAKMUR SEKURITAS (II)";SUGANDA AKHNA SUHRI & PARTNERS;ADNAN BUYUNG NASUTION & PARTNERS LAW FIRM;;;Yes;;;08-Jan-20;14-Jan-20;07-Feb-20;07-Jul-20;07-Jan-21;; 88 ; 126 ; 88 ; 74 ; 67 ; 103 ; 100 ;;;;2020;;  ; 8.191.815.972 ; 15.434.105.194 ;  ;  ;;  ; 1.578.809.123 ; 416.651.479 ;  ;  ;;  ; 19.152.080 ; 35.391.665 ;  ;  ;;  ;-615.925.938 ;-3.595.553.134 ;  ;  ;;
WMUU;PT Widodo Makmur Unggas Tbk;02-Feb-21;Consumer Non-Cyclicals;Agricultural Products; 349.412 ; 12.941.176.500 ; 180 ;34%;37%;12%;-11%;-26%;63%;47%;169%;185%;"CGS-CIMB SEKURITAS INDONESIA (YU); BRI DANAREKSA SEKURITAS (OD); SAMUEL SEKURITAS INDONESIA (IF); DANASAKTI SEKURITAS INDONESIA (PF); PANCA GLOBAL SEKURITAS (PG); PANIN SEKURITAS TBK. (GR); KB VALBURY SEKURITAS (CP); WATERFRONT SEKURITAS INDONESIA (FZ); YULIE SEKURITAS INDONESIA TBK (RS)";HERTANTO, GRACE, KARUNAWAN;HWMA LAW FIRM;;;;;;09-Jan-20;15-Jan-20;07-Feb-20;08-Jul-20;08-Jan-21;; 294 ; 640 ; 426 ; 418 ; 282 ; 290 ; 298 ;;;;2020;;  ; 3.452.515.470.000 ; 3.851.893.802.000 ;  ;  ;;  ; 2.374.107.426.000 ; 2.732.728.022.000 ;  ;  ;;  ; 108.721.507.000 ; 254.118.292.000 ;  ;  ;;  ; 7.990.772.000 ; 19.522.000.000 ;  ;  ;;
EDGE;PT Indointernet Tbk;08-Feb-21;Technology;Online Applications & Services; 595.974 ; 404.050.000 ; 7.375 ;20%;147%;136%;266%;203%;138%;7%;30%;2%;BCA SEKURITAS (SQ);PURWANTONO, SUNGKORO & SURJA;ASSEGAF HAMZAH & PARTNERS;;;;;;09-Jan-20;15-Jan-20;07-Feb-20;08-Jul-20;08-Jan-21;; 212 ; 350 ; 680 ; 230 ; 390 ; 458 ; 525 ;;;;2020;;  ; 1.368.558.366.490 ; 1.417.182.413.602 ;  ;  ;;  ; 903.658.317.194 ; 868.528.173.089 ;  ;  ;;  ; 108.562.592.712 ; 145.617.166.383 ;  ;  ;;  ; 6.297.156.473 ; 32.504.191.217 ;  ;  ;;
UNIQ;PT Ulima Nitra Tbk;08-Mar-21;Energy;Oil, Gas & Coal Supports; 35.400 ; 3.138.983.000 ; 118 ;35%;35%;5%;-25%;-30%;-4%;-32%;7%;376%;SURYA FAJAR SEKURITAS;MIRAWATI SENSI IDRIS;NASOETION & ATYANTO (N&A);;;;;;13-Jan-20;17-Jan-20;12-Feb-20;10-Jul-20;12-Jan-21;; 187 ; 191 ; 143 ; 118 ; 130 ; 95 ; 100 ;;;;2020;;  ; 950.642.771.308 ; 1.052.267.673.576 ;  ;  ;;  ; 125.236.451.417 ; 125.070.629.083 ;  ;  ;;  ; 423.800.001 ; 780.095.454 ;  ;  ;;  ; 56.477.739 ; 44.663.717.526 ;  ;  ;;
BEBS;PT Berkah Beton Sadaya Tbk;10-Mar-21;Basic Materials;Construction Materials; 200.000 ; 9.000.000.000 ; 100 ;35%;280%;398%;1075%;3940%;79%;71%;315%;429%;MIRAE ASSET SEKURITAS INDONESIA (YP);GANDA NAINGGOLAN & PARTNERS;WILLIAM HENDRIK ESTHER;;;;;;14-Jan-20;20-Jan-20;13-Feb-20;13-Jul-20;13-Jan-21;; 2.850 ; 2.730 ; 2.360 ; 2.160 ; 3.150 ; 1.100 ; 1.110 ;;;;2020;;  ; 336.398.988.799 ; 374.109.331.166 ;  ;  ;;  ; 50.845.571.299 ; 68.230.716.580 ;  ;  ;;  ; 80.274.516.170 ; 60.468.799.457 ;  ;  ;;  ; 23.045.386.155 ; 20.325.197.086 ;  ;  ;;
SNLK;PT Sunter Lakeside Hotel Tbk;29-Mar-21;Consumer Cyclicals;Tourism & Recreation; 22.500 ; 450.000.000 ; 150 ;35%;113%;387%;500%;233%;4%;-9%;10%;-144%;VICTORIA SEKURITAS INDONESIA (MI);LEONARD, MULIA & RICHARD;LAW OFFICES ANRA & PARTNERS;;;;;;15-Jan-20;21-Jan-20;14-Feb-20;14-Jul-20;14-Jan-21;; 340 ; 280 ; 242 ; 268 ; 214 ; 199 ; 204 ;;;;2020;;  ; 1.819.761.502.974 ; 2.044.609.829.295 ;  ;  ;;  ; 1.291.065.386.468 ; 1.320.444.455.099 ;  ;  ;;  ; 77.618.906.232 ; 11.613.644.262 ;  ;  ;;  ; 6.972.236.133 ;-14.383.376.891 ;  ;  ;;
ZYRX;PT Zyrexindo Mandiri Buana Tbk;30-Mar-21;Technology;Computer Hardware; 83.333 ; 1.333.333.300 ; 250 ;25%;118%;118%;110%;126%;114%;0%;191%;92%;"BNI SEKURITAS (NI); MIRAE ASSET SEKURITAS INDONESIA (YP)";TERAMIHARDJA, PRADHONO & CHANDRA;ANDREAS SHEILA & PARTNERS;;;;;;22-Jan-20;28-Jan-20;21-Feb-20;21-Jul-20;21-Jan-21;; 1.370 ; 1.075 ; 935 ; 960 ; 920 ; 820 ; 820 ;;;;2020;;  ; 5.570.651.000.000 ; 5.534.524.000.000 ;  ;  ;;  ; 2.287.060.000.000 ; 1.034.950.000.000 ;  ;  ;;  ; 1.617.126.000.000 ; 1.725.686.000.000 ;  ;  ;;  ; 69.629.000.000 ; 67.983.000.000 ;  ;  ;;
LFLO;PT Imago Mulia Persada Tbk;07-Apr-21;Consumer Cyclicals;Household Goods; 30.000 ; 1.300.000.000 ; 100 ;10%;60%;6%;-20%;3%;58%;-27%;48%;25%;"DANATAMA MAKMUR SEKURITAS (II); HENAN PUTIHRAI SEKURITAS (HP); RELIANCE SEKURITAS INDONESIA TBK. (LS)";DOLI, BAMBANG, SULISTIYANTO, DADANG & ALI;IMRAN MUNTAZ & CO;;;Yes;;;29-Jan-20;04-Feb-20;28-Feb-20;28-Jul-20;28-Jan-21;; 178 ; 196 ; 143 ; 128 ; 122 ; 50 ; 50 ;30-Nov-22;1;;2020;;  ; 221.944.953.894 ; 411.803.017.233 ;  ;  ;;  ; 40.439.113.638 ; 41.369.426.345 ;  ;  ;;  ; 13.682.374.980 ; 36.617.953.414 ;  ;  ;;  ; 551.122.496 ; 3.632.150.632 ;  ;  ;;
FIMP;PT Fimperkasa Utama Tbk;09-Apr-21;Infrastructures;Heavy Constructions & Civil Engineering; 20.000 ; 400.000.000 ; 125 ;10%;-18%;-54%;-60%;-58%;57%;-59%;-26%;-248%;"WANTEG SEKURITAS (AN); WANTEG SEKURITAS (AN)";MAURICE GANDA NAINGGOLAN & REKAN;JURNALIS & PONTO LAW FIRM;;;;;;07-Feb-20;13-Feb-20;06-Mar-20;06-Aug-20;05-Feb-21;; 975 ; 890 ; 710 ; 1.680 ; 1.275 ; 1.060 ; 975 ;;;;2020;;  ; 345.981.911.383 ; 469.231.037.733 ;  ;  ;;  ; 97.447.128.576 ; 97.303.116.385 ;  ;  ;;  ; 64.764.930.629 ; 55.407.582.394 ;  ;  ;;  ; 11.517.364.234 ; 12.805.638.541 ;  ;  ;;
TAPG;PT Triputra Agro Persada Tbk;12-Apr-21;Consumer Non-Cyclicals;Agricultural Products; 173.240 ; 19.852.540.000 ; 200 ;35%;228%;288%;288%;230%;1%;-18%;19%;29%;"CIPTADANA SEKURITAS ASIA (KI); TRIMEGAH SEKURITAS INDONESIA TBK. (LG)";PURWANTONO, SUNGKORO & SURJA;ASSEGAF HAMZAH & PARTNERS;;;;;;10-Feb-20;14-Feb-20;09-Mar-20;07-Aug-20;09-Feb-21;; 296 ; 414 ; 232 ; 162 ; 88 ; 20 ; 33 ;31-May-23;"1;7";;2020;;  ; 137.020.378.518 ; 166.736.801.148 ;  ;  ;;  ; 114.545.731.731 ; 112.736.596.662 ;  ;  ;;  ; 41.432.210.341 ; 8.105.140.008 ;  ;  ;;  ; 1.587.817.053 ; 196.449.495 ;  ;  ;;
NPGF;PT Nusa Palapa Gemilang Tbk;14-Apr-21;Basic Materials;Chemicals; 64.805 ; 3.240.235.840 ; 100 ;35%;48%;8%;2%;15%;25%;8%;5%;-20%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;FAHMY HOESSEIN & PARTNERS;;;;;;12-Feb-20;18-Feb-20;11-Mar-20;11-Aug-20;11-Feb-21;; 204 ; 224 ; 156 ; 600 ; 73 ; 56 ; 56 ;;;;2020;;  ; 95.848.982.883 ; 135.161.281.727 ;  ;  ;;  ; 62.280.498.161 ; 63.706.800.670 ;  ;  ;;  ; 16.563.408.447 ; 28.231.074.909 ;  ;  ;;  ;-811.182.755 ; 1.226.670.609 ;  ;  ;;
LUCY;PT Lima Dua Lima Tiga Tbk;05-May-21;Consumer Cyclicals;Tourism & Recreation; 33.750 ; 1.035.000.000 ; 100 ;10%;-18%;-41%;-49%;6%;236%;66%;24%;-4%;INDO CAPITAL SEKURITAS;HELIANTONO AND PARTNERS;WILLIAM HENDRIK ESTHER LAW OFFICE;;;Yes;;;12-Feb-20;18-Feb-20;11-Mar-20;11-Aug-20;11-Feb-21;; 170 ; 272 ; 62 ; 50 ; 50 ; 64 ; 76 ;;;;2020;;  ; 59.415.627.303 ; 79.990.694.347 ;  ;  ;;  ; 28.239.991.441 ; 23.872.021.709 ;  ;  ;;  ; 39.340.046.784 ; 3.083.402.000 ;  ;  ;;  ; 463.767.838 ;-927.283.224 ;  ;  ;;
HOPE;PT Harapan Duta Pertiwi Tbk;24-May-21;Industrials;Machinery; 100.497 ; 2.129.167.000 ; 118 ;35%;110%;53%;-22%;102%;106%;4%;69%;15%;"DANATAMA MAKMUR SEKURITAS (II); YUANTA SEKURITAS INDONESIA (FS)";JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ANDREAS, SHEILA, AND PARTNERS LAW OFFICE;;;;;;14-Feb-20;20-Feb-20;13-Mar-20;13-Aug-20;11-Feb-21;; 173 ; 162 ; 250 ; 79 ; 50 ; 50 ; 50 ;31-May-22;1;;2020;;  ; 401.162.675.575 ; 503.739.396.778 ;  ;  ;;  ; 365.762.076.034 ; 218.107.103.670 ;  ;  ;;  ; 142.345.408 ; 173.943.012.991 ;  ;  ;;  ;-6.356.382.991 ; 35.616.618.753 ;  ;  ;;
MGLV;PT Panca Anugrah Wisesa Tbk;08-Jun-21;Consumer Cyclicals;Household Goods; 54.000 ; 1.900.000.000 ; 135 ;10%;41%;-21%;96%;44%;157%;147%;80%;163%;"DANATAMA MAKMUR SEKURITAS (II); HENAN PUTIHRAI SEKURITAS (HP)";DOLI BAMBANG SULISTIYANTO DADANG & ALI;IMRAN MUNTAZ & CO;;;;;;17-Feb-20;21-Feb-20;16-Mar-20;14-Aug-20;16-Feb-21;; 178 ; 292 ; 390 ; 163 ; 66 ; 199 ; 266 ;;;;2020;;  ; 46.466.909.818 ; 97.336.200.094 ;  ;  ;;  ; 11.168.122.330 ; 28.918.697.592 ;  ;  ;;  ; - ; 1.154.545.458 ;  ;  ;;  ;-636.278.906 ;-1.531.284.986 ;  ;  ;;
TRUE;PT Triniti Dinamik Tbk;10-Jun-21;Properties & Real Estate;Real Estate Management & Development; 151.397 ; 7.569.850.000 ; 100 ;35%;280%;440%;30%;-30%;-6%;-30%;85%;36%;UOB KAY HIAN SEKURITAS (AI);#N/A;#N/A;;;;;;09-Mar-20;13-Mar-20;08-Apr-20;08-Sep-20;08-Mar-21;; 204 ; 210 ; 117 ; 102 ; 104 ; 86 ; 83 ;;;;2020;;  ; 52.239.377.000 ; 77.622.610.998 ;  ;  ;;  ; 16.504.215.794 ; 20.737.218.919 ;  ;  ;;  ; 1.775.163.989 ; 2.330.544.848 ;  ;  ;;  ; 3.021.540.549 ;-179.207.820 ;  ;  ;;
LABA;PT Ladangbaja Murni Tbk;10-Jun-21;Industrials;Machinery; 25.000 ; 1.000.000.000 ; 125 ;34%;62%;127%;-2%;44%;60%;-69%;-32%;-773%;"INDO CAPITAL SEKURITAS; PANIN SEKURITAS TBK. (GR); RELIANCE SEKURITAS INDONESIA TBK. (LS)";HERMAN DODY TANUMIHARDJA & PARTNERS;WILLIAM HENDRIK ESTHER LAW OFFICE;;;;;;09-Mar-20;13-Mar-20;08-Apr-20;08-Sep-20;08-Mar-21;; 178 ; 200 ; 240 ; 274 ; 230 ; 148 ; 151 ;;;;2020;;  ; 568.979.239.113 ; 603.829.091.346 ;  ;  ;;  ; 369.620.928.732 ; 327.903.836.287 ;  ;  ;;  ; 110.037.865.764 ; 58.681.715.176 ;  ;  ;;  ; 37.714.625.003 ; 5.600.229.244 ;  ;  ;;
ARCI;PT Archi Indonesia Tbk;28-Jun-21;Basic Materials;Metals & Minerals; 2.793.938 ; 24.835.000.000 ; 750 ;1%;0%;-8%;-27%;-54%;15%;-10%;-12%;-39%;"BNI SEKURITAS (NI); MANDIRI SEKURITAS (CC); CITIGROUP SEKURITAS INDONESIA (CG); CREDIT SUISSE SEKURITAS INDONESIA (CS); UOB KAY HIAN SEKURITAS (AI)";PURWANTONO, SUNGKORO & SURJA;HADIPUTRANTO, HADINOTO & PARTNERS;;;;;;13-Mar-20;19-Mar-20;09-Apr-20;11-Sep-20;12-Mar-21;; 139 ; 133 ; 316 ; 334 ; 344 ; 488 ; 505 ;;;;2020;;  ; 2.448.470.244.137 ; 3.435.367.485.689 ;  ;  ;;  ; 175.330.732.506 ; 159.672.061.184 ;  ;  ;;  ; 21.802.127.383 ; 54.500.530.501 ;  ;  ;;  ;-7.106.564.082 ;-728.246.458 ;  ;  ;;
IPAC;PT Era Graharealty Tbk;30-Jun-21;Properties & Real Estate;Real Estate Management & Development; 22.797 ; 949.868.500 ; 120 ;10%;59%;15%;-5%;-8%;37%;5%;26%;155%;UOB KAY HIAN SEKURITAS (AI);KANAKA PURADIREDJA, SUHARTONO (MEMBER OF NEXIA INTERNATIONAL);WITARA CAKRA ADVOCATES;;;;;;13-Mar-20;19-Mar-20;09-Apr-20;11-Sep-20;12-Mar-21;; 148 ; 189 ; 212 ; 258 ; 292 ; 128 ; 143 ;;;;2020;;  ; 728.120.840.000 ; 800.472.319.000 ;  ;  ;;  ; 214.212.847.000 ; 223.171.808.000 ;  ;  ;;  ; 14.830.754.000 ; 25.177.020.000 ;  ;  ;;  ;-250.568.000 ; 2.679.242.000 ;  ;  ;;
MASB;PT Bank Multiarta Sentosa Tbk;30-Jun-21;Financials;Banks; 625.553 ; 1.226.902.970 ; 3.360 ;25%;3%;0%;5%;4%;8%;4%;6%;97%;BCA SEKURITAS (SQ);GANI SIGIRO & HANDAYANI (GRANT THORNTON INDONESIA);MAKES & PARTNERS LAW FIRM;;;;;;31-Mar-20;06-Apr-20;29-Apr-20;29-Sep-20;30-Mar-21;; 162 ; 400 ; 382 ; 380 ; 396 ; 755 ; 755 ;;;;2020;;  ; 1.347.469.793.668 ; 1.475.901.153.117 ;  ;  ;;  ; 716.891.004.184 ; 735.919.727.722 ;  ;  ;;  ; 353.530.365.562 ; 260.219.826.506 ;  ;  ;;  ; 29.258.866.029 ; 21.504.332.349 ;  ;  ;;
BMHS;PT Bundamedik Tbk;06-Jul-21;Healthcare;Healthcare Providers; 231.880 ; 8.603.416.176 ; 340 ;25%;201%;203%;131%;74%;24%;-10%;49%;166%;CIPTADANA SEKURITAS ASIA (KI);TANUBRATA SUTANTO FAHMI BAMBANG & PARTNERS (MEMBER OF BDO INTERNATIONAL LIMITED);MAKES & PARTNERS LAW FIRM;;;;;;08-Apr-20;15-Apr-20;06-May-20;07-Oct-20;07-Apr-21;; 135 ; 214 ; 276 ; 67 ; 50 ; 50 ; 50 ;30-Nov-22;1;;2020;;  ; 251.842.574.686 ; 472.336.605.924 ;  ;  ;;  ; 78.283.769.306 ; 79.826.664.750 ;  ;  ;;  ; 12.370.324.167 ; 20.904.157.252 ;  ;  ;;  ; 2.341.563.375 ; 7.137.367.095 ;  ;  ;;
FLMC;PT Falmaco Nonwoven Industri Tbk;08-Jul-21;Consumer Non-Cyclicals;Personal Care Products; 31.250 ; 781.250.000 ; 200 ;10%;50%;106%;69%;-62%;68%;21%;-46%;-847%;"VICTORIA SEKURITAS INDONESIA (MI); WANTEG SEKURITAS (AN)";MORHAN & PARTNERS;ALDJUFRI GILL PRISCILLA RIZKI (AGPR) LAWFIRM;;;;;;08-Apr-20;15-Apr-20;06-May-20;07-Oct-20;07-Apr-21;; 141 ; 157 ; 122 ; 154 ; 55 ; 50 ; 50 ;31-May-22;1;;2020;;  ; 521.661.832.270 ; 514.815.647.925 ;  ;  ;;  ; 381.847.238.511 ; 378.127.195.105 ;  ;  ;;  ; 54.117.901.334 ; 60.414.499.696 ;  ;  ;;  ;-5.380.094.828 ;-3.126.140.939 ;  ;  ;;
NICL;PT PAM Mineral Tbk;09-Jul-21;Basic Materials;Metals & Minerals; 200.000 ; 9.662.500.000 ; 100 ;35%;218%;53%;-29%;-15%;120%;-15%;123%;42%;"DANATAMA MAKMUR SEKURITAS (II); AARTHA SEKURITAS INDONESIA (SH); PANCA GLOBAL SEKURITAS (PG); WATERFRONT SEKURITAS INDONESIA (FZ); HENAN PUTIHRAI SEKURITAS (HP); RELIANCE SEKURITAS INDONESIA TBK. (LS); NILAI INTI SEKURITAS (RO)";TJAHJADI & TAMARA;IRMA & SOLOMON LAW FIRM;;;;;;09-Apr-20;16-Apr-20;08-May-20;08-Oct-20;08-Apr-21;; 197 ; 181 ; 177 ; 354 ; 1.705 ; 3.150 ; 3.150 ;30-Nov-22;7;;2020;;  ; 132.366.473.615 ; 153.561.238.272 ;  ;  ;;  ; 93.922.542.889 ; 124.663.476.444 ;  ;  ;;  ; 48.718.399.046 ; 30.878.255.039 ;  ;  ;;  ;-4.408.984.298 ;-10.119.436.095 ;  ;  ;;
UVCR;PT Trimegah Karya Pratama Tbk;27-Jul-21;Technology;Online Applications & Services; 50.000 ; 2.000.000.000 ; 100 ;10%;60%;374%;228%;43%;96%;-4%;177%;254%;"SURYA FAJAR SEKURITAS; MIRAE ASSET SEKURITAS INDONESIA (YP); NH KORINDO SEKURITAS INDONESIA (XA)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;INFINITY & CO;;;;;;09-Apr-20;16-Apr-20;08-May-20;08-Oct-20;08-Apr-21;; 135 ; 380 ; 206 ; 338 ; 157 ; 800 ; 800 ;29-May-23;"3;7";;2020;;  ; 20.084.414.111 ; 17.896.971.012 ;  ;  ;;  ; 4.012.415.123 ; 3.231.904.909 ;  ;  ;;  ; 973.404.145 ; 484.982.505 ;  ;  ;;  ;-286.833.048 ;-1.429.863.595 ;  ;  ;;
BUKA;PT Bukalapak.com Tbk;06-Aug-21;Technology;Online Applications & Services; 21.900.679 ; 103.062.019.354 ; 850 ;25%;12%;5%;-55%;-63%;926%;216%;38%;24%;"MANDIRI SEKURITAS (CC); BUANA CAPITAL SEKURITAS (RF); BAHANA SEKURITAS (DX); BCA SEKURITAS (SQ); BNI SEKURITAS (NI); BRI DANAREKSA SEKURITAS (OD); CIPTADANA SEKURITAS ASIA (KI); INVESTINDO NUSANTARA SEKURITAS (IN); LOTUS ANDALAN SEKURITAS (YJ); MIRAE ASSET SEKURITAS INDONESIA (YP); PANIN SEKURITAS TBK. (GR); PHILLIP SEKURITAS INDONESIA (KK); SAMUEL SEKURITAS INDONESIA (IF); SINARMAS SEKURITAS (DH); SUCOR SEKURITAS (AZ); TRIMEGAH SEKURITAS INDONESIA TBK. (LG); UBS SEKURITAS INDONESIA (AK); KB VALBURY SEKURITAS (CP); VICTORIA SEKURITAS INDONESIA (MI); WANTEG SEKURITAS (AN); YUANTA SEKURITAS INDONESIA (FS)";PURWANTONO, SUNGKORO & SURJA (MEMBER FIRM OF ERNST & YOUNG GLOBAL LIMITED);ASSEGAF HAMZAH & PARTNERS;;;;;;09-Apr-20;16-Apr-20;08-May-20;08-Oct-20;08-Apr-21;; 216 ; 202 ; 115 ; 384 ; 200 ; 50 ; 50 ;31-May-23;"1;7";;2020;;  ; 273.741.128.990 ; 286.430.904.026 ;  ;  ;;  ; 85.030.777.174 ; 92.777.412.182 ;  ;  ;;  ; 24.877.307.766 ; 33.329.787.512 ;  ;  ;;  ; 2.158.367.575 ; 4.943.140.028 ;  ;  ;;
HAIS;PT Hasnur Internasional Shipping Tbk;01-Sep-21;Transportation & Logistic;Logistics & Deliveries; 157.575 ; 2.626.250.000 ; 300 ;25%;-3%;-12%;-19%;-19%;42%;-19%;38%;88%;RHB SEKURITAS INDONESIA (DR);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;HANAFIAH PONGGAWA & PARTNERS;;;;;;15-Apr-20;21-Apr-20;14-May-20;14-Oct-20;14-Apr-21;; 162 ; 185 ; 163 ; 124 ; 65 ; 57 ; 54 ;;;;2020;;  ; 107.362.210.157 ; 107.956.712.749 ;  ;  ;;  ; 4.561.032.964 ; 5.749.666.345 ;  ;  ;;  ; - ; 144.000.000 ;  ;  ;;  ;-320.381.670 ;-633.541.329 ;  ;  ;;
